Pokemon,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13,Move14,Move15,Move16,Move17,Move18,Move19,Move20,Move21,Move22,Move23,Move24,Move25,Move26,Move27,Move28,Move29,Move30,Move31,Move32,Move33,Move34,Move35,Move36,Move37,Move38,Move39,Move40,Move41,Move42,Move43,Move44,Move45,Move46,Move47,Move48,Move49,Move50,Move51,Move52,Move53,Move54,Move55,Move56,Move57,Move58,Move59,Move60,Move61,Move62,Move63,Move64,Move65,Move66,Move67,Move68,Move69,Move70,Move71,Move72,Move73,Move74,Move75,Move76,Move77,Move78,Move79,Move80,Move81,Move82,Move83,Move84,Move85,Move86,Move87,Move88,Move89,Move90,Move91,Move92,Move93,Move94,Move95,Move96,Move97,Move98,Move99,Move100,Move101,Move102,Move103,Move104,Move105,Move106,Move107,Move108,Move109,Move110,Move111,Move112,Move113,Move114,Move115,Move116,Move117,Move118,Move119,Move120,Move121,Move122,Move123,Move124,Move125,Move126,Move127,Move128,Move129,Move130,Move131,Move132,Move133,Move134,Move135,Move136,Move137,Move138,Move139,Move140,Move141,Move142,Move143,Move144,Move145,Move146,Move147,Move148,Move149,Move150,Move151,Move152,Move153,Move154,Move155,Move156,Move157,Move158,Move159,Move160,Move161,Move162,Move163,Move164,Move165,Move166,Move167,Move168,Move169,Move170,Move171,Move172,Move173,Move174,Move175,Move176,Move177,Move178,Move179,Move180,Move181,Move182,Move183,Move184,Move185,Move186,Move187,Move188,Move189,Move190,Move191,Move192,Move193,Move194,Move195,Move196,Move197,Move198,Move199,Move200,Move201,Move202,Move203,Move204,Move205,Move206,Move207,Move208,Move209,Move210,Move211,Move212,Move213,Move214,Move215,Move216,Move217,Move218,Move219,Move220,Move221,Move222,Move223,Move224,Move225,Move226,Move227,Move228,Move229,Move230,Move231,Move232,Move233,Move234,Move235,Move236,Move237,Move238,Move239,Move240,Move241,Move242,Move243,Move244,Move245,Move246,Move247,Move248,Move249,Move250,Move251,Move252,Move253,Move254,Move255,Move256,Move257,Move258
Quaxwell,Facade,Double Hit,Chilling Water,Misty Terrain,Acrobatics,Low Kick,Endure,Substitute,Work Up,Water Pulse,Rain Dance,Water Pledge,Wing Attack,Whirlpool,Focus Energy,Rapid Spin,Air Slash,Helping Hand,Air Cutter,Psych Up,Roost,Aqua Jet,Pound,Disarming Voice,Aerial Ace,Flip Turn,Surf,Feather Dance,Liquidation,Detect,Aqua Cutter,Rest,Low Sweep,Last Resort,Take Down,Hydro Pump,Sleep Talk,Swift,Protect,Growl,Baton Pass,Tera Blast,Triple Axel,Water Gun,Brave Bird,Encore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaquaval,Close Combat,Facade,Double Hit,Counter,Hydro Cannon,Chilling Water,U-turn,Giga Impact,Hyper Beam,Misty Terrain,Acrobatics,Low Kick,Endure,Substitute,Work Up,Water Pulse,Rain Dance,Water Pledge,Wing Attack,Whirlpool,Focus Energy,Rapid Spin,Air Slash,Agility,Ice Spinner,Helping Hand,Reversal,Air Cutter,Aqua Step,Fling,Psych Up,Roost,Aqua Jet,Pound,Disarming Voice,Aerial Ace,Knock Off,Flip Turn,Hurricane,Surf,Feather Dance,Liquidation,Detect,Upper Hand,Icy Wind,Swords Dance,Aqua Cutter,Rest,Low Sweep,Last Resort,Wave Crash,Take Down,Coaching,Hydro Pump,Sleep Talk,Mega Kick,Bulk Up,Swift,Brick Break,Protect,Growl,Baton Pass,Taunt,Tera Blast,Triple Axel,Water Gun,Brave Bird,Encore,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lechonk,Thief,Facade,Chilling Water,Endure,Substitute,Super Fang,Work Up,Uproar,Rain Dance,Hyper Voice,Play Rough,Spit Up,Curse,Mud Shot,Body Slam,Helping Hand,Stuff Cheeks,Disarming Voice,Iron Head,Bullet Seed,Double-Edge,Echoed Voice,Tail Whip,Sunny Day,Stockpile,Dig,Covet,Seed Bomb,Yawn,Rest,Swallow,Trailblaze,Take Down,Mud-Slap,Sleep Talk,Protect,Tera Blast,Bulldoze,Headbutt,Tackle,Endeavor,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oinkologne,Thief,Facade,Chilling Water,Energy Ball,Giga Impact,Hyper Beam,Endure,Substitute,Super Fang,Work Up,High Horsepower,Uproar,Rain Dance,Hyper Voice,Play Rough,Spit Up,Curse,Mud Shot,Body Slam,Helping Hand,Lash Out,Earth Power,Body Press,Stuff Cheeks,Disarming Voice,Iron Head,Bullet Seed,Stomping Tantrum,Double-Edge,Echoed Voice,Tail Whip,Sunny Day,Stockpile,Dig,Covet,Seed Bomb,Yawn,Rest,Swallow,Belch,Take Down,Trailblaze,Mud-Slap,Sleep Talk,Protect,Tera Blast,Bulldoze,Headbutt,Tackle,Endeavor,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarountula,Thief,Throat Chop,Counter,Facade,Giga Drain,Lunge,Endure,Substitute,Rain Dance,Poison Jab,Skitter Smack,Body Slam,Bug Buzz,Circle Throw,Feint,Memento,Toxic Spikes,Shadow Claw,Knock Off,Bullet Seed,String Shot,Sucker Punch,Bug Bite,Sunny Day,Rest,X-Scissor,Pounce,Block,Trailblaze,Take Down,Sleep Talk,Protect,Assurance,Tera Blast,Struggle Bug,First Impression,Sticky Web,Gastro Acid,Spikes,Leech Life,False Swipe,Headbutt,Tackle,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spidops,Thief,Throat Chop,Counter,Silk Trap,Facade,U-turn,Giga Impact,Giga Drain,Lunge,Low Kick,Endure,Substitute,Rain Dance,Poison Jab,Skitter Smack,Body Slam,Reversal,Fling,Bug Buzz,Circle Throw,Feint,Memento,Rock Tomb,Aerial Ace,Toxic Spikes,Shadow Claw,Knock Off,Bullet Seed,String Shot,Upper Hand,Sucker Punch,Bug Bite,Sunny Day,Rest,X-Scissor,Pounce,Block,Trailblaze,Take Down,Electroweb,Pain Split,Sleep Talk,Brick Break,Protect,Assurance,Taunt,Tera Blast,Struggle Bug,First Impression,Scary Face,Sticky Web,Gastro Acid,Spikes,Leech Life,False Swipe,Headbutt,Tackle,Grass Knot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nymble,Thief,Facade,Counter,U-turn,Endure,Substitute,Screech,Rain Dance,Skitter Smack,Agility,Bug Buzz,Feint,Double Kick,Astonish,Sucker Punch,Bug Bite,Sunny Day,Rest,X-Scissor,Pounce,Trailblaze,Leer,Take Down,Sleep Talk,Protect,Assurance,Tera Blast,Struggle Bug,First Impression,Tackle,Leech Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lokix,Thief,Throat Chop,Counter,Axe Kick,Facade,U-turn,Giga Impact,Lunge,Low Kick,Endure,Dark Pulse,Screech,Substitute,Rain Dance,Skitter Smack,Agility,Spite,Reversal,Lash Out,Fling,Bug Buzz,Feint,Aerial Ace,Knock Off,Double Kick,Detect,Astonish,Sucker Punch,Double-Edge,Bug Bite,Sunny Day,Swords Dance,Rest,Low Sweep,Pounce,X-Scissor,Leer,Bounce,Take Down,Trailblaze,Sleep Talk,Brick Break,Protect,Assurance,Taunt,Tera Blast,Struggle Bug,First Impression,Scary Face,Tackle,Leech Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawmi,Thief,Facade,Quick Attack,Mach Punch,Endure,Substitute,Scratch,Thunder,Super Fang,Rain Dance,Encore,Play Rough,Charge,Agility,Helping Hand,Electro Ball,Fake Out,Slam,Thunder Shock,Fling,Crunch,Electric Terrain,Spark,Wild Charge,Wish,Thunder Wave,Entrainment,Sunny Day,Dig,Rest,Thunderbolt,Eerie Impulse,Take Down,Thunder Fang,Electroweb,Sleep Talk,Charm,Metal Claw,Swift,Protect,Growl,Baton Pass,Tera Blast,Charge Beam,Volt Switch,Nuzzle,Sweet Kiss,Discharge,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawmo,Thief,Facade,Quick Attack,Mach Punch,Low Kick,Endure,Scratch,Substitute,Thunder,Rain Dance,Super Fang,Encore,Play Rough,Charge,Agility,Helping Hand,Electro Ball,Fake Out,Slam,Thunder Shock,Fling,Crunch,Electric Terrain,Spark,Focus Punch,Knock Off,Wild Charge,Wish,Upper Hand,Thunder Wave,Entrainment,Arm Thrust,Sunny Day,Dig,Rest,Thunderbolt,Low Sweep,Eerie Impulse,Take Down,Thunder Fang,Electroweb,Coaching,Sleep Talk,Charm,Metal Claw,Swift,Protect,Growl,Baton Pass,Tera Blast,Charge Beam,Volt Switch,Thunder Punch,Nuzzle,Sweet Kiss,Discharge,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawmot,Close Combat,Thief,Facade,Focus Blast,Throat Chop,Hyper Beam,Giga Impact,Quick Attack,Mach Punch,Low Kick,Endure,Scratch,Substitute,Thunder,Rain Dance,Super Fang,Encore,Play Rough,Charge,Ice Punch,Agility,Helping Hand,Electro Ball,Fake Out,Slam,Double Shock,Thunder Shock,Fling,Body Press,Metronome,Crunch,Electric Terrain,Spark,Rock Tomb,Supercell Slam,Focus Punch,Knock Off,Wild Charge,Wish,Upper Hand,Thunder Wave,Double-Edge,Arm Thrust,Entrainment,Sunny Day,Dig,Seed Bomb,Rest,Low Sweep,Thunderbolt,Eerie Impulse,Take Down,Thunder Fang,Electroweb,Coaching,Sleep Talk,Charm,Metal Claw,Swift,Brick Break,Protect,Growl,Bulk Up,Baton Pass,Tera Blast,Charge Beam,Volt Switch,Thunder Punch,Nuzzle,Sweet Kiss,Revival Blessing,Fire Punch,Discharge,Grass Knot,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandemaus,Thief,Facade,Double Hit,U-turn,Super Fang,After You,Low Kick,Endure,Water Pulse,Rain Dance,Hyper Voice,Substitute,Encore,Copycat,Play Rough,Tickle,Agility,Mud Shot,Helping Hand,Fake Tears,Baby-Doll Eyes,Crunch,Feint,Pound,Switcheroo,Aerial Ace,Shadow Claw,Bullet Seed,Thunder Wave,Double-Edge,Echoed Voice,Sunny Day,Dig,Seed Bomb,Rest,Low Sweep,Take Down,Mud-Slap,Sleep Talk,Charm,Swift,Baton Pass,Beat Up,Protect,Taunt,Tera Blast,Population Bomb,Grass Knot,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maushold,Thief,Facade,Double Hit,Chilling Water,U-turn,Giga Impact,Hyper Beam,Super Fang,After You,Low Kick,Endure,Water Pulse,Rain Dance,Hyper Voice,Substitute,Encore,Copycat,Play Rough,Tickle,Agility,Mud Shot,Helping Hand,Fake Tears,Baby-Doll Eyes,Crunch,Feint,Pound,Switcheroo,Aerial Ace,Shadow Claw,Bullet Seed,Thunder Wave,Echoed Voice,Sunny Day,Dig,Seed Bomb,Rest,Low Sweep,Follow Me,Trailblaze,Take Down,Mud-Slap,Sleep Talk,Charm,Tidy Up,Swift,Baton Pass,Beat Up,Protect,Taunt,Tera Blast,Population Bomb,Grass Knot,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fidough,Roar,Facade,Dazzling Gleam,Misty Terrain,Endure,Substitute,Work Up,Rain Dance,Copycat,Play Rough,Alluring Voice,Agility,Mud Shot,Psychic Fangs,Body Slam,Helping Hand,Baby-Doll Eyes,Psych Up,Crunch,Wish,Howl,Stomping Tantrum,Double-Edge,Tail Whip,Lick,Sunny Day,Dig,Covet,Rest,Last Resort,Yawn,Sweet Scent,Trailblaze,Take Down,Thunder Fang,Mud-Slap,Snarl,Charm,Sleep Talk,Baton Pass,Growl,Protect,Tera Blast,Ice Fang,Fire Fang,Tackle,Endeavor,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dachsbun,Roar,Facade,Hyper Beam,Giga Impact,Dazzling Gleam,Misty Terrain,Endure,Substitute,Work Up,Rain Dance,Copycat,Play Rough,Alluring Voice,Agility,Mud Shot,Psychic Fangs,Body Slam,Helping Hand,Baby-Doll Eyes,Body Press,Psych Up,Crunch,Wish,Howl,Stomping Tantrum,Double-Edge,Tail Whip,Lick,Sunny Day,Dig,Covet,Rest,Last Resort,Yawn,Sweet Scent,Draining Kiss,Trailblaze,Take Down,Thunder Fang,Mud-Slap,Snarl,Charm,Sleep Talk,Baton Pass,Growl,Protect,Tera Blast,Scary Face,Ice Fang,Fire Fang,Tackle,Endeavor,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoliv,Facade,Energy Ball,Giga Drain,Endure,Substitute,Solar Blade,Grass Knot,Grassy Terrain,Mega Drain,Magical Leaf,Helping Hand,Earth Power,Absorb,Memento,Solar Beam,Bullet Seed,Leaf Storm,Flail,Sunny Day,Seed Bomb,Rest,Terrain Pulse,Strength Sap,Sweet Scent,Trailblaze,Synthesis,Sleep Talk,Charm,Swift,Protect,Tera Blast,Razor Leaf,Growth,Leech Seed,Tackle,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolliv,Facade,Energy Ball,Giga Drain,Endure,Substitute,Solar Blade,Grass Knot,Grassy Terrain,Mega Drain,Magical Leaf,Helping Hand,Earth Power,Absorb,Memento,Solar Beam,Bullet Seed,Leaf Storm,Flail,Sunny Day,Seed Bomb,Rest,Terrain Pulse,Strength Sap,Sweet Scent,Trailblaze,Synthesis,Sleep Talk,Charm,Swift,Protect,Tera Blast,Razor Leaf,Growth,Leech Seed,Tackle,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arboliva,Facade,Hyper Beam,Energy Ball,Dazzling Gleam,Giga Drain,Safeguard,Giga Impact,Endure,Substitute,Solar Blade,Petal Dance,Hyper Voice,Encore,Grass Knot,Grassy Terrain,Mega Drain,Magical Leaf,Alluring Voice,Helping Hand,Earth Power,Absorb,Fling,Metronome,Psych Up,Petal Blizzard,Memento,Solar Beam,Mirror Coat,Bullet Seed,Reflect,Pollen Puff,Leaf Storm,Light Screen,Flail,Sunny Day,Seed Bomb,Rest,Terrain Pulse,Strength Sap,Sweet Scent,Trailblaze,Synthesis,Sleep Talk,Charm,Swift,Protect,Tera Blast,Razor Leaf,Growth,Leech Seed,Tackle,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squawkabilly,Facade,Torment,Swagger,Thief,U-turn,Giga Impact,Hyper Beam,Quick Attack,Endure,Substitute,Flatter,Uproar,Hyper Voice,Peck,Fly,Copycat,Air Slash,Reversal,Helping Hand,Fake Tears,Air Cutter,Lash Out,Fury Attack,Roost,Aerial Ace,Hurricane,Foul Play,Feather Dance,Tailwind,Double-Edge,Heat Wave,Sunny Day,Rest,Pounce,Take Down,Final Gambit,Sleep Talk,Parting Shot,Protect,Growl,Taunt,Tera Blast,Dual Wingbeat,Scary Face,Mimic,Brave Bird,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacli,Facade,Recover,Endure,Substitute,Heavy Slam,Ancient Power,Rain Dance,Stealth Rock,Smack Down,Iron Defense,Rock Throw,Curse,Mud Shot,Rock Slide,Body Slam,Helping Hand,Earth Power,Earthquake,Iron Head,Stomping Tantrum,Flash Cannon,Sunny Day,Rock Polish,Stone Edge,Dig,Rest,Take Down,Meteor Beam,Fissure,Power Gem,Sleep Talk,Harden,Protect,Tera Blast,Bulldoze,Sandstorm,Headbutt,Tackle,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naclstack,Facade,Recover,Hyper Beam,Giga Impact,Endure,Substitute,Heavy Slam,Ancient Power,Rain Dance,Stealth Rock,Smack Down,Iron Defense,Rock Throw,Curse,Mud Shot,Rock Slide,Body Slam,Helping Hand,Earth Power,Body Press,Earthquake,Iron Head,Stomping Tantrum,Flash Cannon,Double-Edge,Sunny Day,Rock Polish,Stone Edge,Salt Cure,Dig,Rest,Take Down,Meteor Beam,Fissure,Power Gem,Sleep Talk,Harden,Protect,Tera Blast,Bulldoze,Sandstorm,Headbutt,Tackle,Zen Headbutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garganacl,Facade,Recover,Hyper Beam,Giga Impact,Endure,Substitute,Heavy Slam,Ancient Power,Rain Dance,Stealth Rock,Avalanche,Smack Down,Iron Defense,Rock Throw,Ice Punch,Curse,Mud Shot,Rock Slide,Zen Headbutt,Body Slam,Helping Hand,Earth Power,Fling,Body Press,Earthquake,Gravity,Rock Tomb,Explosion,Iron Head,Focus Punch,Stomping Tantrum,Flash Cannon,Double-Edge,Sunny Day,Rock Polish,Stone Edge,Salt Cure,Dig,Rest,Block,Wide Guard,Take Down,Meteor Beam,Fissure,Power Gem,Sleep Talk,Harden,Brick Break,Protect,Tera Blast,Rock Blast,Bulldoze,Sandstorm,Thunder Punch,Hard Press,Fire Punch,Headbutt,Tackle,Hammer Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charcadet,Flame Charge,Facade,Overheat,Endure,Substitute,Fire Blast,Disable,Ember,Spite,Night Shade,Helping Hand,Will-O-Wisp,Astonish,Heat Wave,Fire Spin,Sunny Day,Flamethrower,Flare Blitz,Rest,Clear Smog,Leer,Take Down,Incinerate,Confuse Ray,Lava Plume,Sleep Talk,Protect,Tera Blast,Destiny Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armarouge,Flame Charge,Facade,Focus Blast,Energy Ball,Psychic,Overheat,Armor Cannon,Calm Mind,Dark Pulse,Endure,Substitute,Psychic Terrain,Fire Blast,Mystical Fire,Disable,Trick Room,Iron Defense,Aura Sphere,Ally Switch,Ember,Spite,Night Shade,Helping Hand,Fling,Psych Up,Solar Beam,Dragon Pulse,Reflect,Will-O-Wisp,Flash Cannon,Astonish,Psyshock,Shadow Ball,Trick,Heat Wave,Fire Spin,Sunny Day,Light Screen,Flamethrower,Flare Blitz,Rest,Clear Smog,Wide Guard,Leer,Take Down,Scorching Sands,Meteor Beam,Incinerate,Confuse Ray,Lava Plume,Sleep Talk,Protect,Acid Spray,Stored Power,Taunt,Tera Blast,Destiny Bond,Psybeam,Weather Ball,Expanding Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
